sender_known_malicious,sender_domain_reputation_score,sender_spoof_detected,sender_temp_email_likelihood,dmarc_enforced,packer_detected,any_file_hash_malicious,max_metadata_suspicious_score,malicious_attachment_count,has_executable_attachment,unscannable_attachment_present,total_yara_match_count,total_ioc_count,max_behavioral_sandbox_score,max_amsi_suspicion_score,any_macro_enabled_document,any_vbscript_javascript_detected,any_active_x_objects_detected,any_network_call_on_open,max_exfiltration_behavior_score,any_exploit_pattern_detected,total_embedded_file_count,max_suspicious_string_entropy_score,max_sandbox_execution_time,unique_parent_process_names,return_path_mismatch_with_from,return_path_known_malicious,return_path_reputation_score,reply_path_known_malicious,reply_path_diff_from_sender,reply_path_reputation_score,smtp_ip_known_malicious,smtp_ip_geo,smtp_ip_asn,smtp_ip_reputation_score,domain_known_malicious,url_count,dns_morphing_detected,domain_tech_stack_match_score,is_high_risk_role_targeted,sender_name_similarity_to_vip,urgency_keywords_present,request_type,content_spam_score,user_marked_as_spam_before,bulk_message_indicator,unsubscribe_link_present,marketing-keywords_detected,html_text_ratio,image_only_email,spf_result,dkim_result,dmarc_result,reverse_dns_valid,tls_version,total_links_detected,url_shortener_detected,url_redirect_chain_length,final_url_known_malicious,url_decoded_spoof_detected,url_reputation_score,ssl_validity_status,site_visual_similarity_to_known_brand,url_rendering_behavior_score,link_rewritten_through_redirector,token_validation_success,total_components_detected_malicious,Analysis_of_the_qrcode_if_present,Final Classification,Binary_Label
0,0.4454215316440101,1,0.5686516526949726,1,0,0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0.7027001817064069,0,0,0.7800232788752507,0,JP,not available,0.5338136130027239,0,1,0,0.5634869788276754,0,0.8113382777404268,1,link_click,0.3129970535167191,0,0,0,0.3119264674958666,0.4723484889066668,0,fail,none,fail,1,TLS 1.2,1,1,3,0,1,0.6784089444663787,valid,0.6567224291939006,0.1832176414614157,0,1,0,0,Warning,Not-Spam
0,0.8878277351744186,1,0.2251840736500232,1,0,0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0.3924925396305361,0,0,0.7170714248623761,0,DE,not available,0.8000655015945037,0,7,0,0.4447447032064047,0,0.6250838347906164,0,link_click,0.6834016786763678,0,0,1,0.5472042616608492,0.5672333794348619,1,pass,pass,pass,1,TLS 1.3,7,0,2,0,0,0.8198927542791307,valid,0.2296679632331569,0.3682468743366854,0,1,0,0,Spam,Spam
0,0.7628428643826086,0,0.1091885032455674,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0.8364323245449917,0,0,0.9120782587287032,0,FR,83224,0.824443885686658,0,1,0,0.759618577564465,0,0.1660847968106626,0,none,0.0491867668806354,0,1,0,0.1460797999474164,0.3246480302370905,0,permerror,temperror,permerror,0,TLS 1.3,1,0,0,0,0,0.825021820350443,valid,0.1929639385183747,0.1592450567227425,0,1,0,0,No Action,Not-Spam
0,0.8326976399711965,0,0.3128580846898554,1,0,0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0.6421675821535353,0,1,0.4064721883747986,0,GB,79378,0.2930038080785868,0,1,0,0.8589344300920965,0,0.5187773778637298,1,credentials,0.7857619544081189,1,0,0,0.3677433095607351,0.502958620281396,1,pass,fail,pass,0,TLS 1.2,1,0,1,0,0,0.6940948462016625,valid,0.1093867679633726,0.0,1,1,0,0,Spam,Spam
0,0.3427582376944216,0,0.0161880986558105,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0.4007427931425041,0,0,0.2663307327203911,0,FR,27133,0.3114334087781858,0,1,0,0.4648446024279377,1,0.0408691683024011,0,link_click,0.7705885717685418,0,0,0,0.3858557335999539,0.5429632298337923,0,pass,pass,temperror,0,TLS 1.2,1,0,1,0,0,0.4658442456073641,valid,0.0,0.6253418489004976,1,0,0,0,Spam,Spam
0,0.1149170371980211,0,0.0,0,0,1,0.0,3,0,1,4,6,0.7322670499064149,0.7921078976275477,1,1,0,0,0.6066044174660117,1,0,0.0,0.0,0,0,0,0.656075949618176,0,0,0.5994295944518856,0,US,76727,0.3647012035812896,0,5,0,0.5853526101747306,0,0.1691372527344036,0,none,0.2385919913317502,0,0,0,0.2830655653969536,0.4111529483911047,0,none,none,none,0,TLS 1.3,4,0,0,0,0,0.6606266830026503,valid,0.0,0.3307353924935826,0,1,3,0,Malicious,Not-Spam
0,0.6538024402028716,0,0.3355813801913488,1,0,0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0.414927705946895,0,0,0.6333085063965261,0,CN,99696,0.719639561485369,0,4,0,0.5796269296714767,0,0.0537754276478051,1,none,0.6139236414956295,1,1,1,0.6351991809286364,0.7041180354469357,1,pass,pass,pass,0,TLS 1.3,4,1,1,0,0,0.3321465756023833,valid,0.4656532713577999,0.1835465874982445,0,0,0,0,Spam,Spam
0,0.7464590550920067,0,0.001765545483802,1,0,0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0.6771620402407573,0,0,0.8524241244235539,0,FR,22552,0.8654166501123469,0,2,0,0.4928740452643657,0,0.1094348556508328,0,none,0.4353388333904459,0,0,0,0.0264336018355179,0.8434646397777346,0,pass,pass,pass,0,TLS 1.2,1,0,0,0,0,0.9451864365702576,valid,0.5770297697610287,0.3152510595179464,0,1,0,0,No Action,Not-Spam
0,0.3397629782508016,0,0.3142401576391756,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0.0,0.0,0,1,0,0.4454524933703803,0,0,0.5855970754327882,0,US,66851,0.1175980341594644,0,3,0,0.4894239565404646,0,0.0727657963109073,0,none,0.785086787100456,0,0,1,0.3311816041499145,0.791494647657374,0,softfail,temperror,none,1,TLS 1.2,2,0,0,0,0,0.559122697835017,invalid,0.2755016263782336,0.1108496593971652,0,0,0,0,Spam,Spam
0,0.3145575368631079,1,0.1946703933254965,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0.585666447220603,0,1,0.6617320047511551,0,FR,57896,0.3944303966968795,0,4,0,0.7199473948239946,0,0.3702130650597469,1,credentials,0.5568959933131962,0,0,1,0.5956394721835601,0.8169952550811698,0,pass,fail,pass,1,TLS 1.3,0,0,0,0,0,0.308189207904122,valid,0.3421128989329386,0.0457837269428998,1,1,0,0,Spam,Not-Spam
